ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-12-23 14:15:00,22.008724531551483,-54.560096414815746,200.238350081257,22.008724531551483,22.008724531551483,48.8077100044584,48.8077100044584,48.8077100044584,63.89793294734213,63.89793294734213,63.89793294734213,-1.4104438502809415,-1.4104438502809415,-1.4104438502809415,-13.679779092602768,-13.679779092602768,-13.679779092602768,0.0,0.0,0.0,70.81643453600988
2022-12-23 14:30:00,22.00897468079347,-70.84638174738049,180.4287120181821,22.00897468079347,22.00897468079347,27.539284970974425,27.539284970974425,27.539284970974425,42.75557587286237,42.75557587286237,42.75557587286237,-1.5262121498308439,-1.5262121498308439,-1.5262121498308439,-13.690078752057092,-13.690078752057092,-13.690078752057092,0.0,0.0,0.0,49.54825965176789
2022-12-23 14:45:00,22.00922483003547,-106.02608553047553,143.52488008880806,22.00922483003547,22.00922483003547,6.913135129567802,6.913135129567802,6.913135129567802,22.25600656310381,22.25600656310381,22.25600656310381,-1.642508633692816,-1.642508633692816,-1.642508633692816,-13.700362799843198,-13.700362799843198,-13.700362799843198,0.0,0.0,0.0,28.922359959603273
2022-12-23 15:00:00,22.00947497927746,-124.31790529550005,138.76158658262457,22.00947497927746,22.00947497927746,-12.245112553408378,-12.245112553408378,-12.245112553408378,3.2248646812496697,3.2248646812496697,3.2248646812496697,-1.7593460152507723,-1.7593460152507723,-1.7593460152507723,-13.710631219407274,-13.710631219407274,-13.710631219407274,0.0,0.0,0.0,9.764362425869082
2022-12-23 15:15:00,22.00972512851946,-128.08328425292294,129.6509375308301,22.00972512851946,22.00972512851946,-29.225506885088947,-29.225506885088947,-29.225506885088947,-13.62788599084796,-13.62788599084796,-13.62788599084796,-1.8767369000316136,-1.8767369000316136,-1.8767369000316136,-13.720883994209375,-13.720883994209375,-13.720883994209375,0.0,0.0,0.0,-7.215781756569488
2022-12-23 15:30:00,22.00997527776145,-150.44209924311895,112.23588703264139,22.00997527776145,22.00997527776145,-43.46900406836347,-43.46900406836347,-43.46900406836347,-27.743189202190198,-27.743189202190198,-27.743189202190198,-1.994693758431173,-1.994693758431173,-1.994693758431173,-13.731121107742094,-13.731121107742094,-13.731121107742094,0.0,0.0,0.0,-21.45902879060202
2022-12-23 15:45:00,22.010225427003448,-156.2576573408899,94.65357952455412,22.010225427003448,22.010225427003448,-54.592857992401086,-54.592857992401086,-54.592857992401086,-38.73828655115584,-38.73828655115584,-38.73828655115584,-2.113228897732764,-2.113228897732764,-2.113228897732764,-13.741342543512486,-13.741342543512486,-13.741342543512486,0.0,0.0,0.0,-32.58263256539764
2022-12-23 16:00:00,22.010475576245437,-168.19116606369843,89.86361556271044,22.010475576245437,22.010475576245437,-62.40480918685208,-62.40480918685208,-62.40480918685208,-46.420906467933015,-46.420906467933015,-46.420906467933015,-2.2323544338640224,-2.2323544338640224,-2.2323544338640224,-13.75154828505504,-13.75154828505504,-13.75154828505504,0.0,0.0,0.0,-40.39433361060664
2022-12-23 16:15:00,22.01072572548743,-174.72547755800358,76.3618833376971,22.01072572548743,22.01072572548743,-66.90544136471152,-66.90544136471152,-66.90544136471152,-50.791620785181884,-50.791620785181884,-50.791620785181884,-2.352082263609221,-2.352082263609221,-2.352082263609221,-13.761738315920423,-13.761738315920423,-13.761738315920423,0.0,0.0,0.0,-44.89471563922409
2022-12-23 16:30:00,22.010975874729425,-171.0150020208324,90.22441130697776,22.010975874729425,22.010975874729425,-68.27883537380518,-68.27883537380518,-68.27883537380518,-52.03449871756798,-52.03449871756798,-52.03449871756798,-2.472424036548582,-2.472424036548582,-2.472424036548582,-13.771912619688614,-13.771912619688614,-13.771912619688614,0.0,0.0,0.0,-46.267859499075755
2022-12-23 16:45:00,22.011226023971414,-174.75731087749077,88.91605718575244,22.011226023971414,22.011226023971414,-66.87239315904137,-66.87239315904137,-66.87239315904137,-50.49693085201582,-50.49693085201582,-50.49693085201582,-2.593391127074715,-2.593391127074715,-2.593391127074715,-13.782071179950831,-13.782071179950831,-13.782071179950831,0.0,0.0,0.0,-44.86116713506995
2022-12-23 17:00:00,22.011476173213406,-177.4692605474446,98.61682245327928,22.011476173213406,22.011476173213406,-63.16738038886157,-63.16738038886157,-63.16738038886157,-46.6601718020775,-46.6601718020775,-46.6601718020775,-2.7149946064593915,-2.7149946064593915,-2.7149946064593915,-13.792213980324679,-13.792213980324679,-13.792213980324679,0.0,0.0,0.0,-41.155904215648164
2022-12-23 17:15:00,22.011726322455395,-159.50502922929795,87.91331697475565,22.011726322455395,22.011726322455395,-57.74230196661203,-57.74230196661203,-57.74230196661203,-41.10271574715424,-41.10271574715424,-41.10271574715424,-2.8372452149976706,-2.8372452149976706,-2.8372452149976706,-13.802341004460125,-13.802341004460125,-13.802341004460125,0.0,0.0,0.0,-35.73057564415664
2022-12-23 17:30:00,22.011976471697395,-145.30239136361297,102.46378526452973,22.011976471697395,22.011976471697395,-51.23164376920595,-51.23164376920595,-51.23164376920595,-34.45903819891951,-34.45903819891951,-34.45903819891951,-2.9601533342728197,-2.9601533342728197,-2.9601533342728197,-13.812452236013636,-13.812452236013636,-13.812452236013636,0.0,0.0,0.0,-29.219667297508558
